date,pd_case,px_case
1,167,342
2,256,502
3,247,649
4,268,713
5,289,694
6,311,1298
7,1956,313
8,438,2238
9,1723,1777
10,2707,1770
11,2360,3620
12,2563,3090
13,2676,1826
14,2878,3433
15,2368,5858
16,4041,4965
17,7234,6120
18,8445,8632
19,8877,11105
20,9533,11689
21,7643,15981
22,11493,13450
23,6882,19205
24,8469,14873
25,11207,15123
26,15207,12512
27,11779,11293
28,10511,13002
29,10912,13908
30,7836,14412
31,8878,11538
32,5795,13106
33,4579,13916
34,4839,12790
35,8112,15258
36,7894,13164
37,6351,13104
38,4420,12560
39,3053,10309
40,3236,7386
41,3544,11488
42,2342,7839
43,1948,5924
44,1755,5578
45,1314,4355
46,992,3990
47,949,3702
48,740,3529
49,713,3501
50,737,3238
51,718,3229
52,604,2410
53,271,1216
54,262,1187
55,291,1805
56,197,1484
57,169,1200
58,103,835
59,96,727
60,91,764
61,84,635
62,86,772
63,80,788
64,75,547
65,59,499
66,60,420
67,47,340
68,44,294
69,35,229
70,28,142
71,18,104
72,12,55
73,6,25
74,4,11
75,2,11
76,5,11
77,1,13
78,1,21
79,2,6
80,0,10
81,4,11
82,2,7
83,0,11
84,1,15
85,4,25
86,3,34
87,2,15
88,0,15
89,3,13
90,0,4
91,0,7
92,0,9
93,0,13
94,0,9
95,0,8
96,0,9
97,0,3
98,0,0
99,0,0
100,1,3